title,latitude,longitude,page,url
Lookout Mountain,48.77292,-116.76919,lookoutmtnp.html,http://www.firelookout.com/id/lookoutmtnp.html
Lunch Peak,48.37478,-116.19349,lunchpk.html,http://www.firelookout.com/id/lunchpk.html
Russell Mountain,48.80896,-116.54535,russellMountain.html,http://www.firelookout.com/id/russellMountain.html
Saddle Mountain,48.95033,-116.77095,saddlemtnid.html,http://www.firelookout.com/id/saddlemtnid.html
Shorty Peak,48.94037,-116.68935,shortypeak.html,http://www.firelookout.com/id/shortypeak.html
Sundance Mountain,48.49076,-116.75149,sundance.html,http://www.firelookout.com/id/sundance.html
West Fork,48.8324,-116.75128,westfork.html,http://www.firelookout.com/id/westfork.html
Bally Mountain,45.1099,-116.2578,ballyMountain.html,http://www.firelookout.com/id/ballyMountain.html
Box Canyon,45.36243,-116.18767,boxcanyon.html,http://www.firelookout.com/id/boxcanyon.html
Krassel Knob,44.96885,-115.7544833,krasselknob.html,http://www.firelookout.com/id/krasselknob.html
